component_id,source_phase,component_name,role,causal_status,directional_status,prior_result,eligible_phase80,reason,implementation_source,required_data,notes
P58F_CT_LOW,58F,Low countertrend ratio,CONFLICT,CAUSAL_PASS,VETO,Infrastructure,True,Countertrend veto,canon parquet countertrend_ratio,P60 parquet,train p50 threshold
P75_M15_NOT_NEUTRAL,75,15m not NEUTRAL,CONTEXT,CAUSAL_PASS,NON_DIRECTIONAL,P75 chop observational,True,Context filter only,canon parquet 15m_state,P60 parquet,
P75_M5_TRENDING,75,5m BULLISH or BEARISH,CONTEXT,CAUSAL_PASS,NON_DIRECTIONAL,Observational,True,Activity/context,canon parquet 5m_state,P60 parquet,
P78_SB_WINDOW,78,Silver Bullet time window,TIMING,CAUSAL_PASS,NON_DIRECTIONAL,P78 NO_DIRECTIONAL_INFORMATION,True,"Timing only, not SB direction",phase80 feature from entry_ts,entry_ts,ET windows from P78 config
P78_RTH,78,Regular trading hours,TIMING,CAUSAL_PASS,NON_DIRECTIONAL,Infrastructure,True,Session timing,phase80 feature from entry_ts,entry_ts,Chicago RTH approx
P76_HVN_ZONE,76,HVN zone proximity,LOCATION,CAUSAL_PASS,NON_DIRECTIONAL,P76 MODERATE_LOCATION_INFORMATION,False,Not in P60 parquet — requires bar replay,phase76/python/auction_engine.py,1m OHLC replay,Deferred: heavy replay
P77_FULL_CONFLUENCE,77,Orochi 8-layer confluence,CONTEXT,CAUSAL_PASS,REJECTED,P77 N_TOO_SMALL,False,Insufficient sample,phase77/python/framework_layers.py,Tick/1m pilot,
P78_SB_DIRECTION,78,Silver Bullet directional sequence,DIRECTION,CAUSAL_PASS,REJECTED,P78 NO_DIRECTIONAL_INFORMATION,False,Direction rejected,phase78/python/sequence.py,1m OHLC,
P78B_LIQ_MAP,78B,SB liquidity sweep map,LOCATION,CAUSAL_PASS,REJECTED,P78B over-inclusive sweeps,False,100% sweep rate,phase78b/python/liquidity.py,1m OHLC,
P67_MULTISTAGE,67,Multistage entry families,DIRECTION,CAUSAL_PASS,REJECTED,P67 SYMMETRIC_NO_EDGE,False,All families rejected,phase67/,1m OHLC,
P68_MICRO,68,Microstructure direction,DIRECTION,CAUSAL_PASS,REJECTED,P68 all REJECT,False,Pilot failed,phase68/,Tick pilot,
P79_ATM_BE,79,ATM +1R breakeven mgmt,TIMING,N/A,REJECTED,P79 ATM_REJECT,False,Management not selection,phase79/,N/A,Management excluded
P57_FVG,57,FVG directional branch,DIRECTION,LEAK_RISK,REJECTED,Historical leak,False,Do not resurrect,phase57/,1m,
P59_HTF_LEAK,59,Early HTF completed-bar,CONTEXT,LEAK_FAIL,INVALID,Future leakage,False,Explicit exclude,pre-P60 HTF,HTF,
POST_ENTRY_OUTCOMES,60,MFE/MAE/net_R at exit,MEMORY,LEAK_FAIL,INVALID,Post-entry,False,Outcome leakage,canon parquet net_R_m1,N/A,Use only for M0 eval
